no_of_previous_bookings_not_canceled,room_type_reserved,Booking_ID,no_of_children,repeated_guest,no_of_special_requests,no_of_adults,arrival_year,no_of_week_nights,type_of_meal_plan,booking_status,required_car_parking_space,market_segment_type,avg_price_per_room,arrival_date,no_of_weekend_nights,arrival_month,lead_time,no_of_previous_cancellations
0,Room_Type 1,INN34865,0,0,0,2,2018,3,Not Selected,Canceled,0,Online,77.35,15,2,4,95,0
0,Room_Type 1,INN12292,0,0,1,1,2018,1,Meal Plan 1,Not_Canceled,0,Corporate,31,26,0,2,16,0
0,Room_Type 1,INN04039,0,1,0,2,2017,3,Meal Plan 1,Not_Canceled,0,Offline,90,6,0,10,19,1
0,Room_Type 1,INN01480,0,0,0,1,2018,0,Meal Plan 1,Not_Canceled,0,Offline,106,13,1,6,3,0
0,Room_Type 1,INN03084,0,0,0,1,2018,0,Meal Plan 1,Not_Canceled,0,Corporate,119,19,1,9,20,0
0,Room_Type 1,INN01259,0,0,0,1,2017,2,Meal Plan 2,Canceled,0,Online,80,16,0,10,102,0
0,Room_Type 1,INN17963,0,0,0,1,2018,1,Meal Plan 1,Not_Canceled,0,Corporate,65,9,0,12,17,0
0,Room_Type 1,INN09989,0,0,0,2,2018,1,Meal Plan 1,Canceled,0,Online,96.3,16,2,10,229,0
0,Room_Type 6,INN24588,2,0,1,2,2017,2,Not Selected,Not_Canceled,0,Online,156.6,16,0,10,39,0
0,Room_Type 1,INN25079,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Complementary,0,11,1,4,14,0
0,Room_Type 1,INN18183,0,0,0,1,2018,2,Not Selected,Not_Canceled,0,Online,88,10,0,8,0,0
0,Room_Type 4,INN04242,0,0,1,2,2018,1,Meal Plan 1,Canceled,0,Online,123.3,3,1,9,60,0
0,Room_Type 7,INN32127,2,0,1,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,182.85,22,0,3,33,0
0,Room_Type 1,INN26024,0,0,0,2,2018,0,Not Selected,Not_Canceled,0,Online,56.47,8,1,5,1,0
0,Room_Type 4,INN25739,0,0,0,3,2018,3,Meal Plan 1,Canceled,0,Online,159.3,17,0,5,51,0
0,Room_Type 1,INN02999,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,75,20,2,3,60,0
0,Room_Type 1,INN00804,0,0,2,1,2017,2,Meal Plan 1,Not_Canceled,0,Online,90.25,30,0,9,29,0
0,Room_Type 1,INN10998,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,72.25,15,2,7,80,0
0,Room_Type 5,INN26870,0,0,0,2,2018,1,Meal Plan 1,Canceled,0,Offline,250,11,0,10,181,0
0,Room_Type 1,INN32058,0,0,2,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,78.3,27,0,12,298,0
0,Room_Type 1,INN13027,0,0,2,1,2018,3,Meal Plan 1,Not_Canceled,0,Online,96,15,0,11,35,0
0,Room_Type 1,INN19779,0,0,0,1,2018,1,Not Selected,Not_Canceled,0,Online,88,5,1,12,3,0
0,Room_Type 1,INN20801,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,75,10,0,11,48,0
0,Room_Type 4,INN09048,0,0,1,2,2017,1,Meal Plan 1,Not_Canceled,0,Offline,75,25,2,10,31,0
0,Room_Type 1,INN26442,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,116.73,20,2,8,136,0
0,Room_Type 1,INN24339,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,141,24,0,3,0,0
0,Room_Type 1,INN34297,0,0,0,1,2018,0,Not Selected,Not_Canceled,0,Online,61,11,1,1,23,0
0,Room_Type 4,INN24943,0,0,0,2,2018,3,Meal Plan 1,Canceled,0,Corporate,90,14,0,6,11,0
0,Room_Type 1,INN25166,0,0,0,2,2018,2,Not Selected,Canceled,0,Online,85.5,26,2,8,149,0
0,Room_Type 1,INN06360,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,84.33,11,1,3,133,0
0,Room_Type 1,INN06819,0,0,1,2,2018,4,Meal Plan 1,Not_Canceled,0,Online,85.85,29,0,3,57,0
0,Room_Type 1,INN03422,0,0,0,2,2017,2,Meal Plan 1,Not_Canceled,0,Online,94.5,9,1,10,53,0
0,Room_Type 1,INN07814,0,0,1,2,2018,1,Meal Plan 1,Canceled,0,Online,105.33,12,2,11,66,0
0,Room_Type 1,INN09368,0,0,1,1,2018,5,Meal Plan 1,Not_Canceled,0,Online,69.84,8,1,2,77,0
0,Room_Type 1,INN16824,0,0,0,2,2018,3,Meal Plan 1,Canceled,0,Online,99.45,9,1,5,120,0
0,Room_Type 4,INN35114,0,0,2,1,2018,1,Meal Plan 1,Not_Canceled,0,Online,184,22,0,9,14,0
0,Room_Type 4,INN03585,0,0,1,2,2018,5,Meal Plan 1,Not_Canceled,0,Online,92.94,5,1,7,113,0
0,Room_Type 1,INN19860,0,0,0,1,2017,2,Meal Plan 1,Not_Canceled,0,Offline,115,15,0,9,4,0
0,Room_Type 1,INN02457,0,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Offline,40.67,6,2,3,48,0
0,Room_Type 1,INN10412,0,0,0,2,2017,1,Meal Plan 2,Canceled,0,Offline,94.5,15,2,8,131,0
0,Room_Type 4,INN02696,0,0,2,3,2018,4,Meal Plan 1,Not_Canceled,0,Online,155.7,6,2,8,130,0
0,Room_Type 1,INN32801,0,0,0,1,2018,1,Not Selected,Not_Canceled,0,Online,129,24,0,5,1,0
0,Room_Type 1,INN18593,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,80,16,0,2,4,0
0,Room_Type 1,INN15980,0,0,0,2,2018,1,Not Selected,Not_Canceled,0,Online,91.5,30,2,4,121,0
0,Room_Type 4,INN31166,0,0,0,1,2017,1,Meal Plan 1,Not_Canceled,0,Offline,92,4,0,11,21,0
0,Room_Type 1,INN10661,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,100,3,0,6,70,0
0,Room_Type 1,INN16568,0,0,0,1,2017,1,Meal Plan 1,Not_Canceled,0,Online,0,21,1,9,60,0
0,Room_Type 1,INN12809,0,0,1,1,2018,2,Meal Plan 1,Not_Canceled,0,Online,72.9,11,1,3,63,0
0,Room_Type 1,INN30190,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,93.6,4,0,11,74,0
0,Room_Type 1,INN25683,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,65,4,1,3,42,0
0,Room_Type 1,INN11004,0,0,1,2,2018,4,Meal Plan 2,Canceled,0,Offline,112,17,0,5,323,0
0,Room_Type 1,INN03637,0,0,1,2,2018,3,Not Selected,Canceled,0,Online,89.25,2,1,5,120,0
0,Room_Type 1,INN15775,0,0,0,2,2018,3,Meal Plan 1,Canceled,0,Offline,85,11,2,8,54,0
0,Room_Type 1,INN09909,0,0,0,2,2018,3,Meal Plan 1,Canceled,0,Offline,80,19,1,5,322,0
0,Room_Type 1,INN29811,0,0,2,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,90.95,27,1,10,240,0
0,Room_Type 1,INN29363,0,0,0,1,2018,0,Meal Plan 1,Not_Canceled,0,Offline,84,8,2,5,5,0
0,Room_Type 4,INN29903,0,0,1,2,2017,4,Meal Plan 1,Not_Canceled,0,Offline,60.5,29,0,12,97,0
0,Room_Type 1,INN09383,0,0,0,2,2017,1,Meal Plan 2,Not_Canceled,0,Offline,94.5,15,2,8,131,0
0,Room_Type 1,INN12877,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,112.05,9,2,7,79,0
0,Room_Type 1,INN08433,0,0,1,2,2018,3,Not Selected,Not_Canceled,1,Online,103.5,25,1,7,82,0
0,Room_Type 1,INN22073,0,0,0,1,2018,2,Meal Plan 1,Canceled,0,Offline,122,19,1,9,159,0
0,Room_Type 1,INN12166,0,0,0,1,2018,2,Meal Plan 1,Not_Canceled,0,Corporate,95,9,1,5,7,0
0,Room_Type 4,INN17902,0,0,2,3,2018,4,Meal Plan 1,Not_Canceled,0,Online,130,3,0,2,2,0
0,Room_Type 1,INN35887,0,0,1,2,2018,3,Meal Plan 1,Canceled,0,Online,85,1,1,12,114,0
0,Room_Type 4,INN05413,0,0,1,2,2018,5,Meal Plan 1,Canceled,0,Online,110.99,14,2,4,69,0
0,Room_Type 1,INN27276,1,0,3,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,124.67,11,1,11,58,0
0,Room_Type 4,INN14702,0,0,0,1,2018,1,Meal Plan 1,Canceled,0,Corporate,103,9,0,11,2,0
0,Room_Type 4,INN08882,0,0,2,2,2018,2,Meal Plan 1,Canceled,0,Online,114.3,17,0,8,203,0
0,Room_Type 4,INN11674,0,0,1,1,2018,3,Meal Plan 1,Not_Canceled,0,Online,166,13,0,7,9,0
0,Room_Type 1,INN12934,0,0,0,1,2018,3,Meal Plan 1,Not_Canceled,0,Offline,120,14,0,6,71,0
0,Room_Type 1,INN23918,0,0,0,2,2018,1,Meal Plan 2,Not_Canceled,0,Offline,104,6,0,4,55,0
0,Room_Type 1,INN24466,0,0,0,1,2018,3,Meal Plan 1,Not_Canceled,0,Offline,110,6,1,6,118,0
0,Room_Type 1,INN29279,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,140,21,2,8,4,0
0,Room_Type 1,INN13128,0,0,0,1,2018,2,Meal Plan 1,Not_Canceled,0,Online,71.7,27,0,1,1,0
0,Room_Type 1,INN05163,0,0,1,2,2018,2,Not Selected,Not_Canceled,0,Online,119,23,1,5,12,0
0,Room_Type 1,INN24658,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,96.3,9,0,4,112,0
1,Room_Type 1,INN05186,0,1,0,1,2018,0,Meal Plan 1,Not_Canceled,0,Corporate,65,9,1,10,12,0
0,Room_Type 1,INN18175,0,0,1,1,2018,2,Meal Plan 1,Not_Canceled,0,Corporate,130,17,0,5,64,0
0,Room_Type 1,INN27786,0,0,0,2,2017,2,Meal Plan 1,Not_Canceled,0,Offline,90,19,1,10,5,0
0,Room_Type 6,INN27392,2,0,0,2,2018,4,Meal Plan 1,Canceled,0,Online,191.7,8,0,6,32,0
0,Room_Type 1,INN28707,0,0,0,1,2018,3,Not Selected,Not_Canceled,0,Offline,85,25,0,10,21,0
0,Room_Type 4,INN33581,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,103.5,16,1,12,185,0
0,Room_Type 4,INN34656,0,0,0,2,2017,3,Meal Plan 1,Not_Canceled,0,Offline,71.25,29,1,10,37,0
0,Room_Type 1,INN20314,0,0,0,1,2017,1,Meal Plan 1,Not_Canceled,0,Corporate,62,17,0,11,22,0
0,Room_Type 1,INN24036,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Offline,85,2,2,10,18,0
0,Room_Type 1,INN24928,0,0,0,2,2018,5,Meal Plan 1,Canceled,0,Offline,80,5,2,9,277,0
20,Room_Type 1,INN15866,0,1,0,1,2018,1,Meal Plan 1,Not_Canceled,1,Corporate,67,9,0,11,7,3
0,Room_Type 1,INN10444,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,101.52,28,0,9,64,0
0,Room_Type 1,INN19064,0,1,0,1,2018,1,Meal Plan 1,Not_Canceled,0,Corporate,66,14,0,1,8,1
0,Room_Type 1,INN14499,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,89.25,22,2,10,229,0
0,Room_Type 1,INN20818,0,0,0,3,2018,5,Meal Plan 2,Not_Canceled,0,Online,178.5,13,2,7,136,0
0,Room_Type 1,INN22998,0,0,0,2,2018,3,Not Selected,Not_Canceled,0,Online,122.33,27,0,4,12,0
0,Room_Type 1,INN17875,0,0,1,1,2017,3,Meal Plan 1,Canceled,0,Online,63.75,17,0,11,74,0
0,Room_Type 1,INN33053,0,0,2,2,2018,1,Not Selected,Not_Canceled,0,Online,80.1,29,0,3,50,0
0,Room_Type 1,INN29190,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Offline,95,30,1,9,267,0
0,Room_Type 1,INN23785,0,0,1,2,2018,2,Meal Plan 2,Canceled,0,Online,138,12,1,2,19,0
0,Room_Type 1,INN33499,0,0,0,2,2018,1,Not Selected,Not_Canceled,0,Online,109,10,0,6,0,0
0,Room_Type 1,INN21833,0,0,2,2,2018,4,Meal Plan 1,Not_Canceled,0,Online,93.6,2,0,11,66,0
0,Room_Type 1,INN22089,0,0,0,2,2018,1,Meal Plan 1,Canceled,0,Online,117.9,20,0,7,38,0
0,Room_Type 1,INN05437,0,0,1,2,2018,2,Not Selected,Not_Canceled,0,Online,79.2,9,0,12,51,0
0,Room_Type 4,INN20302,0,0,1,1,2018,2,Meal Plan 1,Not_Canceled,0,Online,79,6,0,12,56,0
0,Room_Type 1,INN22977,1,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,152.1,11,0,8,33,0
0,Room_Type 1,INN24781,0,0,2,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,105.3,17,2,7,141,0
0,Room_Type 4,INN23771,0,0,1,2,2018,6,Meal Plan 1,Not_Canceled,0,Online,119.28,18,3,7,119,0
0,Room_Type 4,INN20505,0,0,1,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,140.4,1,0,6,56,0
0,Room_Type 2,INN32601,2,0,1,0,2018,2,Meal Plan 1,Canceled,0,Online,69.5,23,1,12,381,0
0,Room_Type 1,INN31852,0,0,2,2,2017,3,Meal Plan 1,Not_Canceled,0,Online,117.67,3,0,9,8,0
0,Room_Type 1,INN29677,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Offline,90,24,1,6,121,0
0,Room_Type 1,INN06186,0,0,0,1,2018,3,Meal Plan 1,Not_Canceled,0,Offline,63.75,19,1,12,35,0
0,Room_Type 1,INN10233,0,0,0,2,2017,2,Meal Plan 1,Canceled,0,Online,89.25,18,1,9,87,0
0,Room_Type 1,INN09600,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Offline,72,12,0,11,54,0
0,Room_Type 1,INN09387,0,0,0,1,2018,2,Meal Plan 1,Not_Canceled,1,Corporate,67,31,0,3,9,0
0,Room_Type 1,INN31491,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,100,2,0,6,112,0
0,Room_Type 1,INN32497,0,0,2,3,2018,2,Not Selected,Not_Canceled,0,Online,92.28,15,2,7,135,0
0,Room_Type 1,INN35208,0,0,2,2,2018,7,Meal Plan 1,Not_Canceled,0,Online,90.95,8,3,8,202,0
0,Room_Type 1,INN22888,0,0,0,2,2018,2,Meal Plan 2,Canceled,0,Offline,112.2,15,0,6,239,0
0,Room_Type 1,INN02777,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,132,3,1,6,191,0
0,Room_Type 4,INN24512,0,0,0,3,2018,4,Meal Plan 1,Canceled,0,Online,142.2,29,1,8,56,0
0,Room_Type 2,INN31598,2,0,2,0,2018,3,Meal Plan 1,Not_Canceled,0,Online,77.86,16,2,12,109,0
0,Room_Type 1,INN03047,0,0,0,2,2018,2,Not Selected,Canceled,0,Online,125.1,18,0,8,51,0
0,Room_Type 1,INN35487,0,0,0,2,2017,2,Meal Plan 2,Not_Canceled,0,Offline,101.5,18,0,9,74,0
0,Room_Type 1,INN01399,0,0,2,2,2018,3,Not Selected,Not_Canceled,0,Online,79.2,8,0,12,98,0
0,Room_Type 4,INN05090,0,0,0,3,2018,3,Meal Plan 1,Canceled,0,Online,134.73,13,1,10,237,0
0,Room_Type 4,INN25036,0,0,0,3,2018,1,Meal Plan 1,Canceled,0,Online,141.3,9,0,6,56,0
0,Room_Type 4,INN30067,0,0,0,3,2018,1,Meal Plan 1,Canceled,0,Online,167.4,30,0,12,45,0
0,Room_Type 1,INN06178,0,0,0,2,2018,2,Not Selected,Canceled,0,Online,75.05,19,0,2,29,0
0,Room_Type 1,INN01081,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,80.3,11,0,2,57,0
0,Room_Type 1,INN09729,0,0,1,2,2018,2,Not Selected,Not_Canceled,0,Offline,53.38,25,0,3,77,0
0,Room_Type 4,INN03435,0,0,2,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,132.3,18,0,10,68,0
0,Room_Type 1,INN11940,0,0,0,2,2018,4,Meal Plan 1,Canceled,0,Online,112.95,23,0,3,40,0
0,Room_Type 1,INN24860,0,0,0,1,2018,2,Meal Plan 1,Not_Canceled,0,Offline,71,19,0,1,151,0
0,Room_Type 4,INN05888,0,0,2,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,82.45,11,2,3,57,0
0,Room_Type 1,INN15700,0,0,0,1,2018,0,Meal Plan 1,Canceled,0,Online,115,12,2,6,13,0
0,Room_Type 1,INN32642,0,0,0,2,2018,1,Meal Plan 1,Canceled,0,Online,117.9,21,1,5,32,0
0,Room_Type 1,INN32197,0,0,0,2,2018,0,Not Selected,Canceled,0,Online,68.53,11,1,9,20,0
0,Room_Type 1,INN29409,0,0,0,2,2018,5,Not Selected,Canceled,0,Online,108,17,2,10,97,0
0,Room_Type 1,INN19609,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,75,2,1,5,84,0
0,Room_Type 1,INN00175,1,0,1,2,2018,1,Meal Plan 1,Canceled,0,Online,150,5,0,11,11,0
0,Room_Type 4,INN23539,0,0,0,2,2018,3,Meal Plan 1,Canceled,0,Online,119.16,4,2,9,67,0
0,Room_Type 1,INN06978,0,0,0,2,2017,3,Meal Plan 1,Not_Canceled,0,Offline,72.25,5,1,10,111,0
0,Room_Type 1,INN09196,0,0,2,1,2018,0,Meal Plan 1,Not_Canceled,0,Online,103,21,1,11,8,0
0,Room_Type 1,INN15266,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,127.8,10,1,10,84,0
0,Room_Type 1,INN16061,0,0,1,2,2018,1,Meal Plan 1,Canceled,0,Online,105.3,22,1,8,169,0
0,Room_Type 1,INN32735,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Offline,90,11,0,11,92,0
0,Room_Type 1,INN28668,0,0,1,1,2018,1,Meal Plan 1,Canceled,0,Online,67.91,21,1,11,59,0
0,Room_Type 1,INN29679,0,0,1,2,2018,5,Not Selected,Canceled,0,Online,74.8,13,2,11,48,0
0,Room_Type 1,INN22475,0,0,0,2,2018,0,Meal Plan 1,Not_Canceled,0,Offline,85,16,2,10,20,0
0,Room_Type 1,INN23174,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Offline,68,30,0,12,88,0
0,Room_Type 1,INN34187,0,0,0,2,2017,1,Meal Plan 2,Not_Canceled,0,Offline,104,11,0,9,48,0
0,Room_Type 4,INN16934,0,0,0,3,2018,3,Meal Plan 1,Not_Canceled,0,Online,144.23,29,1,8,43,0
0,Room_Type 1,INN23638,0,0,1,1,2018,2,Meal Plan 1,Not_Canceled,0,Online,96,1,0,12,0,0
0,Room_Type 1,INN10954,0,0,0,1,2018,1,Not Selected,Not_Canceled,0,Offline,84,5,0,4,0,0
0,Room_Type 1,INN26524,0,0,1,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,90,13,1,10,335,0
0,Room_Type 1,INN15864,0,0,0,2,2018,2,Not Selected,Not_Canceled,0,Online,79.2,25,0,11,132,0
0,Room_Type 1,INN09261,0,0,0,2,2018,2,Meal Plan 2,Canceled,0,Offline,130,25,1,3,161,0
0,Room_Type 1,INN16963,1,0,0,2,2018,4,Meal Plan 1,Canceled,0,Online,116.45,11,1,7,139,0
0,Room_Type 1,INN28360,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,58,10,0,3,86,0
0,Room_Type 1,INN24391,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,141.67,30,1,12,28,0
0,Room_Type 1,INN19509,0,0,0,2,2017,1,Meal Plan 2,Canceled,0,Offline,94.5,15,2,8,131,0
0,Room_Type 1,INN28764,0,0,2,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,122.76,4,2,11,82,0
0,Room_Type 6,INN31034,2,0,0,2,2018,3,Meal Plan 1,Canceled,0,Online,180.3,28,0,4,96,0
0,Room_Type 1,INN12518,0,0,1,2,2018,3,Not Selected,Not_Canceled,0,Online,134.37,7,0,7,28,0
0,Room_Type 1,INN21844,0,0,1,2,2018,2,Not Selected,Canceled,0,Online,88,16,0,11,29,0
0,Room_Type 1,INN32745,0,0,0,2,2018,0,Meal Plan 2,Canceled,0,Offline,110,17,2,4,275,0
0,Room_Type 1,INN01320,0,0,2,2,2018,5,Meal Plan 1,Not_Canceled,0,Online,85,27,2,11,113,0
0,Room_Type 1,INN31827,0,0,0,1,2018,1,Meal Plan 1,Canceled,0,Online,120,10,0,11,10,0
0,Room_Type 1,INN10812,0,0,0,2,2018,1,Meal Plan 1,Canceled,0,Online,105.3,18,1,7,78,0
0,Room_Type 1,INN18509,1,0,0,2,2018,1,Meal Plan 1,Canceled,0,Online,114.09,5,2,11,50,0
0,Room_Type 1,INN35232,0,0,1,2,2018,1,Meal Plan 2,Not_Canceled,1,Online,125.1,18,0,3,37,0
0,Room_Type 2,INN32380,0,0,0,2,2017,0,Meal Plan 1,Not_Canceled,0,Online,77.25,20,1,12,6,0
0,Room_Type 1,INN08247,0,0,1,2,2017,3,Meal Plan 1,Not_Canceled,0,Offline,58,15,0,12,8,0
0,Room_Type 1,INN28374,0,0,1,1,2018,0,Not Selected,Not_Canceled,0,Online,135.8,23,1,5,3,0
0,Room_Type 6,INN15319,2,0,2,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,201,20,0,7,2,0
0,Room_Type 1,INN26217,0,0,0,1,2018,1,Meal Plan 1,Not_Canceled,0,Corporate,95,3,1,10,17,0
0,Room_Type 4,INN18053,0,0,0,1,2018,1,Meal Plan 1,Canceled,0,Online,156,7,0,6,20,0
0,Room_Type 1,INN00920,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,55.59,15,1,1,38,0
0,Room_Type 1,INN21400,0,0,0,2,2018,2,Not Selected,Canceled,0,Online,103.5,15,1,8,144,0
0,Room_Type 1,INN14089,0,0,0,2,2018,4,Meal Plan 1,Not_Canceled,0,Offline,72.25,18,2,8,167,0
0,Room_Type 4,INN06636,0,0,0,2,2018,4,Meal Plan 1,Not_Canceled,0,Online,100.47,7,1,12,1,0
0,Room_Type 4,INN09095,0,0,2,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,148,30,1,12,18,0
0,Room_Type 1,INN09768,0,0,2,2,2017,2,Meal Plan 1,Not_Canceled,0,Online,96.3,27,1,11,39,0
0,Room_Type 1,INN11309,0,0,2,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,169,22,0,9,19,0
0,Room_Type 1,INN12265,0,0,0,2,2018,1,Meal Plan 1,Canceled,0,Online,106.3,15,2,10,252,0
0,Room_Type 1,INN30951,0,0,1,1,2018,1,Meal Plan 1,Not_Canceled,0,Online,112.5,3,2,4,38,0
0,Room_Type 1,INN26655,0,0,0,1,2017,3,Meal Plan 1,Not_Canceled,0,Offline,57.5,22,2,11,25,0
0,Room_Type 1,INN02424,0,0,0,1,2018,2,Meal Plan 1,Canceled,0,Online,76.5,4,0,3,39,0
0,Room_Type 1,INN03808,0,0,1,2,2018,0,Meal Plan 1,Not_Canceled,0,Online,114.3,10,2,7,127,0
0,Room_Type 1,INN10438,0,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,126.9,17,0,5,53,0
0,Room_Type 1,INN13214,1,0,1,2,2018,3,Meal Plan 1,Canceled,0,Online,119.85,26,0,5,159,0
0,Room_Type 4,INN00507,0,0,1,3,2018,3,Meal Plan 1,Canceled,0,Online,128.7,21,2,10,209,0
0,Room_Type 1,INN19112,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,1,Online,123.5,17,2,7,92,0
0,Room_Type 1,INN18945,0,0,1,2,2018,2,Meal Plan 2,Canceled,0,Offline,115,14,0,10,377,0
0,Room_Type 4,INN01414,0,0,1,3,2018,4,Meal Plan 1,Canceled,0,Online,168.3,13,0,9,103,0
0,Room_Type 1,INN13623,0,0,0,1,2017,2,Meal Plan 2,Not_Canceled,0,Offline,58,17,0,9,56,0
0,Room_Type 1,INN18850,0,0,0,2,2018,1,Not Selected,Not_Canceled,0,Online,67.5,8,0,1,3,0
0,Room_Type 1,INN02237,0,0,3,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,140,20,0,8,3,0
0,Room_Type 1,INN01835,0,0,0,2,2017,2,Meal Plan 1,Not_Canceled,0,Offline,108,30,0,9,27,0
0,Room_Type 6,INN36228,2,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,231,6,0,8,20,0
0,Room_Type 1,INN17477,0,0,0,1,2018,1,Meal Plan 1,Not_Canceled,0,Offline,75,24,0,3,0,0
0,Room_Type 1,INN17461,0,0,0,2,2018,3,Not Selected,Canceled,0,Online,118.8,1,1,9,120,0
0,Room_Type 1,INN34995,1,0,2,2,2017,5,Meal Plan 1,Not_Canceled,0,Online,76.5,7,2,8,158,0
0,Room_Type 1,INN36051,0,0,1,2,2018,2,Meal Plan 1,Canceled,0,Online,116.55,21,0,6,145,0
0,Room_Type 1,INN30555,0,0,0,2,2018,2,Not Selected,Canceled,0,Online,67.5,11,1,3,57,0
0,Room_Type 1,INN33907,0,0,0,2,2017,3,Meal Plan 1,Not_Canceled,0,Offline,115,31,0,12,28,0
0,Room_Type 1,INN04067,0,0,1,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,112,3,1,11,41,0
0,Room_Type 1,INN29988,0,0,1,1,2018,2,Meal Plan 1,Canceled,0,Online,100.8,22,0,6,193,0
0,Room_Type 1,INN02877,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Offline,85,4,0,5,27,0
0,Room_Type 1,INN11150,0,0,0,2,2018,1,Not Selected,Not_Canceled,0,Online,79,21,0,1,0,0
0,Room_Type 1,INN04794,0,0,1,1,2017,2,Meal Plan 1,Not_Canceled,0,Online,114,15,0,9,14,0
0,Room_Type 1,INN25118,0,0,3,1,2017,3,Meal Plan 1,Not_Canceled,0,Online,109.25,17,1,9,22,0
0,Room_Type 1,INN15274,0,0,1,1,2018,1,Meal Plan 1,Not_Canceled,1,Corporate,88,5,1,12,5,0
0,Room_Type 4,INN00502,0,0,1,1,2018,1,Meal Plan 2,Not_Canceled,0,Online,145,28,2,2,18,0
0,Room_Type 1,INN23706,0,0,0,2,2017,2,Meal Plan 1,Not_Canceled,0,Online,113.4,30,0,9,11,0
0,Room_Type 1,INN23696,0,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,97,23,0,6,0,0
0,Room_Type 1,INN16141,0,0,0,2,2018,4,Not Selected,Not_Canceled,0,Online,79,11,2,2,1,0
0,Room_Type 1,INN11206,0,0,0,1,2018,3,Meal Plan 1,Not_Canceled,0,Corporate,66,8,0,3,5,0
0,Room_Type 1,INN15213,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Offline,60,18,1,1,46,0
0,Room_Type 1,INN03492,0,0,0,2,2018,5,Not Selected,Not_Canceled,0,Online,88.92,22,0,3,6,0
0,Room_Type 1,INN11075,1,0,0,2,2017,7,Meal Plan 1,Not_Canceled,0,Online,69.4,27,3,7,74,0
0,Room_Type 1,INN22495,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,82.45,3,2,4,104,0
0,Room_Type 1,INN28495,0,0,0,1,2018,4,Meal Plan 1,Canceled,0,Offline,120,12,2,6,69,0
0,Room_Type 1,INN35765,0,0,0,1,2018,1,Not Selected,Not_Canceled,0,Online,89,8,0,4,2,0
0,Room_Type 1,INN28813,0,0,3,2,2018,3,Not Selected,Not_Canceled,0,Online,125.1,20,2,8,37,0
